"","X","Y","Symbol"
"Ccnd3","11.159618","-4.699175e-02","Ccnd3"
"Tspyl1","10.838358","-6.611530e-02","Tspyl1"
"Stip1","11.306163","-1.578389e-01","Stip1"
"Ciapin1","10.851227"," 1.088048e-01","Ciapin1"
"Impact","10.006466"," 1.457811e-01","Impact"
"NA","13.792383"," 4.574426e-03","NA"
"NA"," 5.185437","-4.100632e-02","NA"
"Hnrnpab","13.877156","-4.526906e-03","Hnrnpab"
"Ddx1","12.364131","-1.211042e-01","Ddx1"
"Mthfd1","11.216864"," 4.000464e-02","Mthfd1"
"Mthfd1","10.972961","-1.942492e-01","Mthfd1"
"Tpi1","13.200699","-9.367688e-02","Tpi1"
"Npdc1"," 6.832211","-1.137851e-01","Npdc1"
"Cstf2t","11.934661"," 1.855796e-02","Cstf2t"
"Tnfrsf19"," 4.822031"," 2.687806e-01","Tnfrsf19"
"Marcksl1","12.976722","-2.079403e-01","Marcksl1"
"Ndn","13.114532"," 3.392291e-01","Ndn"
"Tnp1"," 3.696902"," 2.117459e-01","Tnp1"
"Nup62","11.526450"," 2.476038e-02","Nup62"
"Nup62","11.117986","-7.444247e-02","Nup62"
"Actc1","10.396524","-3.542189e+00","Actc1"
"Map1lc3b","12.048831"," 1.616390e-01","Map1lc3b"
"Map1lc3b","11.172824"," 7.327756e-02","Map1lc3b"
"Map1lc3b","11.749227"," 2.027801e-01","Map1lc3b"
"Igf2"," 7.576836"," 1.755087e+00","Igf2"
"Atp9a"," 7.882021","-3.925416e-02","Atp9a"
"Cox5a","13.491364"," 1.398413e-02","Cox5a"
"Cops8","10.948482"," 5.102978e-02","Cops8"
"Smoc2"," 8.070646","-1.454327e+00","Smoc2"
"Bcar3"," 7.844403"," 5.216676e-01","Bcar3"
"Pdcd6ip"," 7.796335"," 1.848884e-01","Pdcd6ip"
"Spink1"," 4.166369","-2.595788e-01","Spink1"
"Fmod"," 6.853428","-8.057807e-02","Fmod"
"Zfand2a"," 9.017525","-4.939946e-02","Zfand2a"
"Zfand2a"," 8.434161"," 1.255193e-02","Zfand2a"
"NA","14.313880","-2.727079e-02","NA"
"Sdc1","11.243285","-4.217288e-01","Sdc1"
"Sdc1"," 9.432256","-2.629936e-01","Sdc1"
"Mcm5","11.349829","-4.630908e-01","Mcm5"
"Pigq"," 8.925086","-2.719042e-01","Pigq"
"Creg1"," 9.147223"," 6.927244e-02","Creg1"
"Creg1"," 7.528916","-1.120052e-01","Creg1"
"Cpe","11.839073","-8.593266e-02","Cpe"
"Pebp1","13.284216"," 3.387442e-04","Pebp1"
"Fkbp10"," 8.597117","-1.402193e-01","Fkbp10"
"Mark2"," 8.852741","-4.074173e-01","Mark2"
"Mark2"," 6.697666","-4.424149e-02","Mark2"
"NA"," 3.550217"," 4.997280e-02","NA"
"Prm1"," 7.120396","-1.573214e-01","Prm1"
"Cdk16"," 8.822360","-7.961072e-02","Cdk16"
"Rrp1","10.227345"," 3.381035e-01","Rrp1"
"Slc2a4"," 7.598354"," 7.634967e-02","Slc2a4"
"Slc2a4"," 7.170555"," 1.242494e-01","Slc2a4"
"Mpo"," 6.361563","-5.311962e-01","Mpo"
"Itm2c","11.434233"," 4.852192e-02","Itm2c"
"Eif3h","12.889555"," 8.335051e-02","Eif3h"
"Hnrnph2","12.327790","-1.842932e-01","Hnrnph2"
"Scd1"," 9.939343","-7.024849e-02","Scd1"
"Scd1"," 7.619304"," 7.261927e-02","Scd1"
"Ndufv1","11.818702","-1.951261e-02","Ndufv1"
"Ndufv1","11.641093","-6.488158e-02","Ndufv1"
"Kap"," 7.271262","-7.416051e-03","Kap"
"Kap"," 3.895655"," 1.739585e-02","Kap"
"Cox6c","12.867605"," 2.812059e-02","Cox6c"
